," This is a citation overview for a set of 22 documents.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 9 (Of the 22 documents considered for the h-index, 9 have been cited at least 9 times.)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,subtotal,>2023,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,1,1,5,25,36,33,65,52,109,88,106,120,127,118,886,50,936
2024,"Evaluating Postural Transition Movement Performance in Individuals with Essential Tremor via the Instrumented Timed Up and Go","Monaghan P.G., Murrah W.M., Walker H.C., Neely K.A., Roper J.A.",14248220,"Sensors",24, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"How Building Knowledge Boosts Literacy and Learning First causal study finds outsized impacts at “Core Knowledge” schools","Grissmer D., Buddin R., Berends M., White T.G., Willingham D.T., Decoster J., Duran C.A.K., Hulleman C.S., Murrah W.M., Evans T.",15399672,"Education Next",24, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Usage and acceptability of data normalization in baseball pitching","Giordano K.A., Barrack A.J., Murrah W.M., Karduna A.R., Michener L.A., Wasserberger K.W.",14763141,"Sports Biomechanics",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The relationship between gait speed and mediolateral stability depends on a person's preferred speed","Brinkerhoff S.A., Murrah W.M., Roper J.A.",20452322,"Scientific Reports",13, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Core and Whole-Body Vibration Exercise Improve Military Foot March Performance in Novice Trainees: A Randomized Controlled Trial","Lyons K.D., Parks A.G., Dadematthews O.D., Zandieh N.L., McHenry P.A., Games K.E., Goodlett M.D., Murrah W.M., Roper J.A., Sefton J.M.",1930613X,"Military medicine",188, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Sleep restriction impairs visually and memory-guided force control","Brinkerhoff S.A., Mathew G.M., Murrah W.M., Chang A.-M., Roper J.A., Neely K.A.",19326203,"PLoS ONE",17, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
